date,equity_dm,rf,cash,futures,duration,n_ccy,scv_dm,rec9060,w_equity,w_bond,lev15,acwi,ntsg,equity_dm_exc
2019-06-04,0.0150999999999999,0.0001,0.000563975788821329,-0.003167730089492949,7.050047750784689,4.0,0.013,0.0117095033965402,0.9006466379380551,0.5913220536436876,0.022611986088753255,0.01623488402251083,,0.0149999999999999
2019-06-05,0.006,0.0001,0.0002572183909766408,0.0009352189865359605,7.031473942389338,4.0,0.001,0.00597500943726037,0.9006690119196158,0.5878098840392383,0.008897208688438019,0.003503162211654809,,0.0059
2019-06-06,0.0043,0.0001,0.0006837029489565439,-0.0006369802411464797,7.032909552008583,4.0,-0.002,0.003558942717429847,0.9013340922672245,0.5857253211730352,0.00634796837613405,0.005306625231777273,,0.0042
2019-06-07,0.0104999999999999,0.0001,0.00038618854644856927,0.00218263133754315,7.031766482169441,4.0,0.0067,0.010773057046791656,0.9010905998000566,0.5794825228962551,0.015521429119886188,0.0105569846625444,,0.0103999999999999
2019-06-10,0.0048,0.0001,-0.00039823196982878355,-0.0032345430173017537,7.044708116096818,4.0,0.0044,0.00238923954971626,0.903257735573677,0.5781013004055837,0.006971279411528197,0.004261174076047647,,0.004699999999999999
2019-06-11,0.0024,0.0001,0.00023099332967208523,-0.00044688437767590795,7.026006389093253,4.0,0.0034999999999999,0.0019244093928350026,0.9036864913668893,0.5769909336333191,0.0034958072355231185,0.0028742187525208074,,0.0023
2019-06-12,-0.0037,0.0001,-3.5822677424715915e-05,0.0012762455930323655,7.024611687956199,4.0,-0.0043,-0.002618086037726397,0.9027062138835693,0.5785055108339814,-0.005471979909868696,-0.00573220090609905,,-0.0038
2019-06-13,0.0021,0.0001,-0.00036956124866897584,0.0018355528160619039,7.0300271240675505,4.0,0.0024,0.0029141855834466934,0.9019733791146561,0.5768245370838334,0.0030565202649668333,0.0034320521976338725,,0.002
2019-06-14,-0.0039,0.0001,-0.0007628923096778835,0.00028002702749574035,7.039108971031158,4.0,-0.0052,-0.003438325353876337,0.9015555241527307,0.5788146903087179,-0.005770709477194824,-0.004377583262314411,,-0.004
2019-06-17,-0.0001,0.0001,0.00016196188951718085,-1.106019866343133e-05,7.0422815147146425,4.0,-0.002,-0.00010280309643218022,0.9015580515596292,0.5788742003689605,-0.0002521464372400306,0.0009179932433778237,,-0.0002
2019-06-18,0.0094999999999999,0.0001,-0.00031046985105051973,0.002039768930899255,7.043033927566469,4.0,0.0044,0.009707538716843267,0.9013727422556912,0.5733087831597311,0.01396515148259403,0.012927548762277308,,0.0093999999999999
2019-06-19,0.0059,0.0001,0.0004632349340683997,0.0019438844014421943,7.05493262211072,4.0,0.008,0.006470787589893279,0.9008615576475622,0.5696228745322883,0.008622073179418654,0.0032934455877471347,,0.0058
2019-06-20,0.0096999999999999,0.0001,0.001507473218242209,0.0015674162691651512,7.063072577224339,4.0,0.0081,0.009773172206529068,0.9007962776126347,0.564109732968607,0.014159440872088425,0.011352832193521456,,0.0095999999999999
2019-06-21,-0.0017,0.0001,0.0004888283720077282,-0.0034553728853547313,7.0710022404828345,4.0,-0.0017,-0.0034394414258565043,0.902368567774086,0.5660566516657277,-0.0025104557614753498,-0.0027049573354404055,,-0.0018
2019-06-24,-0.0012,0.0001,0.0009898206695535903,0.002690353892052714,7.050801308716286,4.0,-0.0022,0.0005144843533322341,0.9008222665314934,0.5657655741301837,-0.0018517615911207708,-0.00108482405049537,,-0.0013
2019-06-25,-0.0068,0.0001,0.00023274674505724592,0.001143326141021099,7.066177059067157,4.0,-0.0034,-0.00546301045055908,0.8996112608384805,0.5688733351049062,-0.009955141446504223,-0.008009704959265562,,-0.0069
2019-06-26,-0.0017,0.0001,-0.00043371457566646575,-0.0029931487889314594,7.072951605056052,4.0,-0.002,-0.0032829747666527354,0.9010400133225374,0.5707470833777761,-0.002522621985875939,0.0006842613517294982,,-0.0018
2019-06-27,0.0053,0.0001,-0.0002593749975129187,0.0019901552375346213,7.056702833533797,4.0,0.0097,0.0058782788231290795,0.9005220059557753,0.5674116793192376,0.007729053206629644,0.003829196200141327,,0.0052
2019-06-28,0.0053,0.0001,7.54569029158796e-05,0.0003501969958691895,7.069319561138174,4.0,0.0063,0.004971544707347286,0.9008163239596673,0.5646047217033103,0.007710602087065865,0.004223488374688111,,0.0052
2019-07-01,0.0058,0.0001,-0.0010769958988371654,-0.0013365922472161806,7.071669021043773,4.0,0.0052,0.004340979363360198,0.9021249528352033,0.5621643777407216,0.008352416673580665,0.007868818326225435,,0.005699999999999999
2019-07-02,0.0033,0.0001,0.0001392676368724757,0.002398312629874813,7.0633430808567725,4.0,-0.0008,0.004331459741919064,0.9011984603291643,0.5597398869544321,0.0047646967987413635,0.002422957056779751,,0.0032
2019-07-03,0.0063,0.0001,-0.0002190881433753299,0.0014112703092694558,7.078308667076866,4.0,0.0025,0.006438403395665482,0.901074529319917,0.5561591102504653,0.009113718137582438,0.006311298743760796,,0.0062
