Date,SHY,IEI,IEF,TLT
2023-02-09,71.43759155273438,103.40438079833984,85.80810546875,90.38768005371094
2023-02-10,71.40242767333984,103.14551544189453,85.39420318603516,89.37628173828125
2023-02-13,71.41999816894531,103.2258529663086,85.59671783447266,90.12837982177734
2023-02-14,71.27059173583984,102.7884521484375,85.20923614501953,89.92088317871094
2023-02-15,71.27937316894531,102.717041015625,84.95384979248047,89.0823745727539
2023-02-16,71.28817749023438,102.59208679199219,84.67200469970703,87.82026672363281
2023-02-17,71.34967803955078,102.7884521484375,84.90977478027344,88.50318908691406
2023-02-21,71.20905303955078,102.14573669433594,83.98502349853516,86.78292083740234
2023-02-22,71.24422454833984,102.24394226074219,84.13475036621094,87.57821655273438
2023-02-23,71.28817749023438,102.44032287597656,84.46062469482422,88.43402099609375
2023-02-24,71.13874816894531,101.9671859741211,83.94979858398438,87.28428649902344
2023-02-27,71.20027160644531,102.16357421875,84.2052001953125,87.52633666992188
2023-02-28,71.18270111083984,102.20823669433594,84.33732604980469,87.92402648925781
2023-03-01,71.0523681640625,101.74506378173828,83.6630630493164,86.97941589355469
2023-03-02,71.07879638671875,101.55729675292969,83.31887817382812,86.20816802978516
2023-03-03,71.12281799316406,101.89706420898438,83.98959350585938,88.2966537475586
2023-03-06,71.08756256103516,101.82554626464844,83.83956909179688,87.61201477050781
2023-03-07,70.9378890991211,101.61092376708984,83.84840393066406,88.14930725097656
2023-03-08,70.90267181396484,101.53047180175781,83.82190704345703,88.23597717285156
2023-03-09,71.1316146850586,102.13847351074219,84.34262084960938,88.4526138305664
2023-03-10,71.51908874511719,103.3277359008789,85.89585876464844,91.50299835205078
2023-03-13,72.23243713378906,104.5705795288086,86.93722534179688,91.71096801757812
2023-03-14,71.95944213867188,103.89996337890625,86.11649322509766,90.203125
2023-03-15,72.38214874267578,105.0981216430664,87.3608169555664,91.9449691772461
2023-03-16,72.09156036376953,104.37386322021484,86.57538604736328,91.22569274902344
2023-03-17,72.4526138305664,105.2680435180664,87.59909057617188,92.59489440917969
2023-03-20,72.36454772949219,104.97296905517578,87.24609375,91.78033447265625
2023-03-21,72.09156036376953,104.28445434570312,86.48712158203125,90.99169158935547
2023-03-22,72.42619323730469,105.27693939208984,87.62559509277344,92.20494079589844
2023-03-23,72.63756561279297,105.87602996826172,88.12860870361328,92.20494079589844
2023-03-24,72.67279815673828,105.84921264648438,88.15510559082031,92.59489440917969
2023-03-27,72.36454772949219,104.98190307617188,87.06961822509766,90.41975402832031
2023-03-28,72.2852783203125,104.78516387939453,87.01664733886719,90.58442687988281
