Date,NTSG.L,ACWI,VT,URTH,NTSX,SPY
2009-04-20,,21.24909210205078,20.93922233581543,,,61.29078674316406
2009-04-21,,21.673505783081055,21.406827926635742,,,62.488277435302734
2009-04-22,,21.517887115478516,21.283050537109375,,,62.10624694824219
2009-04-23,,21.92108154296875,21.730026245117188,,,62.71601486206055
2009-04-24,,22.366714477539062,21.9707088470459,,,63.66371536254883
2009-04-27,,21.970598220825195,21.72315788269043,,,63.061241149902344
2009-04-28,,21.914012908935547,21.544355392456055,,,62.8629035949707
2009-04-29,,22.423311233520508,22.108240127563477,,,64.19998931884766
2009-04-30,,22.600147247314453,22.30765724182129,,,64.2220230102539
2009-05-01,,22.727476119995117,22.568967819213867,,,64.56730651855469
2009-05-04,,23.77436637878418,23.435420989990234,,,66.76385498046875
2009-05-05,,23.597524642944336,23.297897338867188,,,66.5361099243164
2009-05-06,,24.099750518798828,23.66922378540039,,,67.68952178955078
2009-05-07,,23.724851608276367,23.401033401489258,,,66.74919128417969
2009-05-08,,24.49587631225586,24.233110427856445,,,68.30657958984375
2009-05-11,,23.91584014892578,23.531696319580078,,,67.02833557128906
2009-05-12,,24.036087036132812,23.662349700927734,,,66.82999420166016
2009-05-13,,23.272140502929688,22.974681854248047,,,65.14765930175781
2009-05-14,,23.49849510192871,23.1466007232666,,,65.70600128173828
2009-05-15,,23.3287296295166,23.022825241088867,,,65.16971588134766
2009-05-18,,24.135114669799805,23.916772842407227,,,67.02098083496094
2009-05-19,,24.234146118164062,24.013057708740234,,,66.940185546875
2009-05-20,,24.30488395690918,23.99930191040039,,,66.49205780029297
2009-05-21,,23.986574172973633,23.77925682067871,,,65.53699493408203
2009-05-22,,24.05730628967285,23.861778259277344,,,65.39743041992188
2009-05-26,,24.58074951171875,24.35687828063965,,,67.07240295410156
2009-05-27,,24.17048454284668,23.944284439086914,,,65.87493896484375
2009-05-28,,24.488792419433594,24.32938575744629,,,66.79322814941406
2009-05-29,,24.96980094909668,24.673198699951172,,,67.97602844238281
2009-06-01,,25.54276466369629,25.40212059020996,,,69.62159729003906
2009-06-02,,25.56399154663086,25.36086654663086,,,69.68037414550781
2009-06-03,,25.068830490112305,24.83136558532715,,,68.79881286621094
2009-06-04,,25.288118362426758,25.07204818725586,,,69.44532012939453
2009-06-05,,25.146642684936523,24.948261260986328,,,69.4599838256836
2009-06-08,,25.11128044128418,24.83136558532715,,,69.17349243164062
