date,usd_per_eur,usd_per_gbp,usd_per_jpy
2020-03-31,1.1016,1.2454,0.009299730307821073
2020-04-01,1.0934,1.2394,0.009341429238673517
2020-04-02,1.0862,1.238,0.00927213722763097
2020-04-03,1.0797,1.2228,0.009214042200313277
2020-04-06,1.0808,1.2298,0.009165062780680048
2020-04-07,1.0886,1.2343,0.009176837661741764
2020-04-08,1.0864,1.2394,0.00919963201471941
2020-04-09,1.0931,1.2458,0.009226794611551948
2020-04-10,1.0951,1.2485,0.009225943352707815
2020-04-13,1.0906,1.2518,0.009294544102611766
2020-04-14,1.0971,1.2617,0.009338812103100485
2020-04-15,1.0909,1.2523,0.00930925339787749
2020-04-16,1.084,1.2433,0.00928332714444857
2020-04-17,1.0883,1.2503,0.009300595238095238
2020-04-20,1.0874,1.2467,0.009285913269570062
2020-04-21,1.0854,1.2266,0.009285913269570062
2020-04-22,1.0829,1.2332,0.009275577404693442
2020-04-23,1.0815,1.2369,0.009289363678588016
2020-04-24,1.0798,1.2335,0.009307520476545048
2020-04-27,1.0829,1.2421,0.009326618168252192
2020-04-28,1.0836,1.2438,0.009360666479453337
2020-04-29,1.0853,1.2429,0.009374707040404988
2020-04-30,1.0934,1.2602,0.009351037965214139
2020-05-01,1.0998,1.2509,0.009366804046459348
2020-05-04,1.0911,1.243,0.009361542782250515
2020-05-05,1.0844,1.2449,0.00938790837401427
2020-05-06,1.0806,1.2347,0.009427736400490242
2020-05-07,1.0815,1.2349,0.009402030838661151
2020-05-08,1.0854,1.2436,0.009389671361502348
2020-05-11,1.0818,1.233,0.009285051067780872
2020-05-12,1.0864,1.2299,0.009317059536010435
2020-05-13,1.0837,1.2225,0.009352787130564907
2020-05-14,1.08,1.2194,0.009337940050424876
2020-05-15,1.0816,1.2129,0.009322270905192505
2020-05-18,1.0904,1.2211,0.009324009324009324
2020-05-19,1.0937,1.2255,0.009268699601445917
2020-05-20,1.098,1.2257,0.009305788200260562
2020-05-21,1.0953,1.2227,0.009285913269570062
2020-05-22,1.0894,1.2178,0.009302325581395349
2020-05-25,,,
2020-05-26,1.097,1.2337,0.00929022668153103
2020-05-27,1.0969,1.2231,0.009277298450691158
2020-05-28,1.1069,1.2325,0.009287638153617534
2020-05-29,1.1107,1.232,0.009279020135473694
2020-06-01,1.1123,1.2472,0.009297136481963555
2020-06-02,1.1166,1.2531,0.009208103130755065
2020-06-03,1.1246,1.26,0.009184423218221896
2020-06-04,1.1322,1.2608,0.009174311926605505
2020-06-05,1.1297,1.2703,0.00911743253099927
