variant,series,frac,X,scenario,label,kelly_mult,leverage,leverage_min,leverage_max,n_obs,cagr,ann_vol,sharpe,sortino,max_dd,calmar,final_wealth,log_final_wealth,final_wealth_raw,worst_day,best_day,worst_month,mdd_peak,mdd_trough,mdd_recovery,mdd_recovered,mdd_duration_days,mdd_recovery_days,mdd_duration_tdays,mdd_recovery_tdays,longest_underwater_days,n_dd_20,n_dd_35,n_dd_50,pct_days_below_20,q01,q05,q50,q95,q99,skew,kurt,wiped_out
cost_broker,mkt,quarter,10,quarter_x10,"Quarter Kelly, -10 best days",0.25,0.6540904113525419,0.6540904113525419,0.6540904113525419,26223,0.07398650366757743,0.11207637250718284,0.4129792954883247,0.5708003578496096,-0.7227408803528812,0.10236933550991777,1243.427393116084,7.125626872408126,1240.054474606318,-0.11377336773988331,0.05670963866426538,-0.22205050782129854,1929-09-03,1932-06-01,1946-01-28,True,5991.0,4989.0,4886,4073,5991.0,7,2,1,0.2084429699119094,-0.020058575628523034,-0.010203810417099654,0.0005232723290820335,0.00988053808801762,0.019346686186985408,-0.5981709159161375,12.826499037879987,False
cost_letf,mkt,quarter,10,quarter_x10,"Quarter Kelly, -10 best days",0.25,0.6540904113525419,0.6540904113525419,0.6540904113525419,26223,0.06425979018490643,0.11207637250718284,0.3317930766169239,0.4572118082664455,-0.7306416401856937,0.08794980555525786,501.3882422158295,6.21738073554064,500.20132863603277,-0.11380799798821883,0.05667500841592985,-0.22262301630457293,1929-09-03,1932-07-08,1950-11-22,True,7750.0,6711.0,6243,5400,7750.0,7,2,1,0.25130610532738434,-0.02009320587685856,-0.010238440665435182,0.0004886420807465057,0.009845907839682092,0.01931205593864988,-0.5981709159161375,12.826499037879987,False
cash_day,mkt,quarter,10,quarter_x10,"Quarter Kelly, -10 best days",0.25,0.6540904113525419,0.6540904113525419,0.6540904113525419,26233,0.07396373612373132,0.11205503561095041,0.4129005262068406,0.5706915531445839,-0.7226854285289512,0.10234568624731623,1240.7986685130609,7.12351053877428,1240.7986685130597,-0.11377336773988331,0.05670963866426538,-0.22205050782129854,1929-09-03,1932-06-01,1946-01-28,True,5991.0,4989.0,4891,4076,5991.0,7,2,1,0.20866847100979682,-0.020048575628523035,-0.010203810417099654,0.0005232723290820335,0.00988053808801762,0.01934014528287198,-0.5982455529594455,12.83248765471524,False
walkforward,mkt,full,25,full_x25,"Full Kelly, -25 best days",1.0,1.4145264641747173,4.1762113583609977e-05,2.2643571790124013,23248,0.09930802798211733,0.2542585241609003,0.36921771356498756,0.5032887249694445,-0.8953565772028512,0.11091450100513216,4939.804755153224,8.505081086152575,4343.751448663044,-0.3364649865596903,0.121047077991757,-0.5359868252917133,2000-03-24,2009-03-09,2017-05-25,True,6271.0,2999.0,4316,2068,6271.0,17,11,5,0.3623107364074329,-0.04694282957302811,-0.02342118014070323,3.0486342916035286e-07,0.023427059451186973,0.04395391836950045,-1.1729376544493761,22.48040178686056,False
fixed_1936,mkt,full,25,full_x25,"Full Kelly, -25 best days",1.0,2.6163616454101675,2.6163616454101675,2.6163616454101675,23248,0.15322902268632185,0.4053937044162052,0.4755341816165897,0.6504644234755246,-0.9698108376241475,0.1579988764218225,364591.0406001979,12.806531567694385,300412.23839746864,-0.4559934709595332,0.1779125918878914,-0.6659872846565488,2000-03-24,2009-03-09,2018-01-04,True,6495.0,3223.0,4470,2222,6495.0,33,15,11,0.6012130075705437,-0.07211758141332063,-0.03842215235207048,0.0017698169872461004,0.0368539995287906,0.06590334446700187,-0.895077547339787,13.162967935706885,False
cost_futures,mkt,full,25,full_x25,"Full Kelly, -25 best days",1.0,2.6163616454101675,2.6163616454101675,2.6163616454101675,26208,0.07507646490624256,0.4417604762820425,0.31831498734292946,0.43270454688841653,-0.9996945370522827,0.0750994049918632,1375.9375725503824,7.2268906486780375,1366.4937551375015,-0.45654397663289187,0.17787842396237208,-0.6665845915824218,1929-09-03,1942-04-28,1968-07-11,True,14191.0,9571.0,10718,6956,14191.0,23,10,8,0.7969322344322345,-0.08065240913408618,-0.04128706456374764,0.001679974382829306,0.03890420173411397,0.07536649698929462,-0.837860287912056,12.079649762241024,False
cost_broker,mkt,full,25,full_x25,"Full Kelly, -25 best days",1.0,2.6163616454101675,2.6163616454101675,2.6163616454101675,26208,0.06297939844295547,0.44176047628204257,0.2927038785893111,0.39751823205237596,-0.9997403462773476,0.06299575552538894,444.6130949794207,6.097204454491367,442.03710655463783,-0.4565870343291846,0.17783536626607932,-0.6669036027685515,1929-09-03,1942-04-28,1985-12-13,True,20555.0,15935.0,15099,11337,20555.0,19,7,7,0.8458867521367521,-0.08069546683037893,-0.04133012226004039,0.0016369166865365546,0.038861144037821226,0.07532343929300186,-0.8378602879120557,12.07964976224102,False
cost_letf,mkt,full,25,full_x25,"Full Kelly, -25 best days",1.0,2.6163616454101675,2.6163616454101675,2.6163616454101675,26208,0.056254120793657054,0.44177962940360893,0.2783449089559658,0.37782730343301224,-0.9997451457401891,0.05626846105064882,235.94295658758992,5.463590066434567,234.71764363706768,-0.45669541812347597,0.17783411581962447,-0.6669495855991023,1929-09-03,1942-04-28,1986-04-16,True,20679.0,16059.0,15183,11421,20679.0,18,7,7,0.8556547619047619,-0.08070375993945593,-0.041371289108637466,0.001603071409523307,0.03883839951069675,0.07530144453120265,-0.8374742549205179,12.079482232246667,False
cash_day,mkt,full,25,full_x25,"Full Kelly, -25 best days",1.0,2.6163616454101675,2.6163616454101675,2.6163616454101675,26233,0.09063701098954065,0.44141329659400735,0.3507960956407867,0.477463165103449,-0.9996349003299775,0.09067011461846876,5775.998216858676,8.661466371857008,5775.998216858638,-0.4559934709595332,0.1779125918878914,-0.6659872846565488,1929-09-03,1942-04-28,1965-10-18,True,13194.0,8574.0,10054,6275,13194.0,26,12,9,0.7546220409407998,-0.08061012769786792,-0.041238513997480644,0.0017698169872461004,0.038983788516611495,0.07535121538781282,-0.8377358297018552,12.093841036832023,False
walkforward,mkt,half,25,half_x25,"Half Kelly, -25 best days",0.5,0.7072632320873586,2.0881056791804988e-05,1.1321785895062006,23248,0.07512098343049892,0.12712920880835954,0.36921771356498756,0.5032887249694445,-0.5933129460091342,0.12661274953764856,669.541642154828,6.506593362083931,606.8131076034873,-0.16808249327984517,0.0605735389958785,-0.3079629472154377,2007-10-09,2009-03-09,2013-12-23,True,2267.0,1750.0,1560,1207,2558.0,11,5,2,0.1348072952512044,-0.02343693096809536,-0.011607388630525411,2.0045814520132788e-07,0.01177937537272949,0.022050459184750282,-1.170043169480475,22.466933185893232,False
