series,variant,from_id,to_id,from_frac,from_X,to_frac,to_X,dist_all,dist_risk,dist_return,diff_cagr,diff_ann_vol,diff_sharpe,diff_sortino,diff_max_dd,diff_calmar,diff_mdd_duration_days,diff_log_final_wealth,diff_worst_month
mkt,primary,quarter_x25,half_x10,quarter,25,half,10,0.786904247409429,0.9126278480648805,0.7311622493170461,0.037577376538797294,0.1137515493906956,0.0620158542556028,0.0931095192516691,-0.1439838063069695,0.027287138427187205,-1213.0,3.4580949712185447,-0.1815210534554451
mkt,primary,quarter_x25,quarter_x10,quarter,25,quarter,10,0.40333779361548266,0.3711569352386215,0.37263089855636095,0.007861634450136601,0.001672356548672968,0.0620158542556028,0.0931095192516691,0.07055350905853963,0.019014568225477854,-3040.0,0.7334501356872591,0.0
mkt,primary,quarter_x25,full_x25,quarter,25,full,25,1.1320712714303929,1.9364508064469388,0.42231748388442986,0.024588194068587643,0.33121964754344047,0.0,0.0,-0.206340729894412,0.0073914075288474546,4164.0,2.2762507553261795,-0.44393677683525024
mkt,primary,quarter_x25,half_x25,quarter,25,half,25,0.6823315673027603,1.0059286551698456,0.37527992418123735,0.021835832570475514,0.11040208392708112,0.0,0.0,-0.1733346329727491,0.007642605803906993,639.0,2.0240155689708352,-0.1815210534554451
mkt,primary,quarter_x25,quarter_x25,quarter,25,quarter,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mkt,primary,quarter_x25,full_x100,quarter,25,full,100,2.1288171155219726,2.625204670454834,1.777889955236223,-0.07416326457851447,0.31590753434537333,-0.22441913222892335,-0.3116688616782545,-0.20670392623994382,-0.09139317618499661,26272.0,-7.197894476254632,-0.5511270439664618
mkt,primary,quarter_x25,half_x100,quarter,25,half,100,1.3281735490319992,1.4257725253999805,1.3161364627236403,-0.030064975327299612,0.10275367518951165,-0.22441913222892335,-0.3116688616782545,-0.2039258181978847,-0.04719435495526167,11508.0,-2.855694527477205,-0.27776834509284287
mkt,primary,quarter_x25,quarter_x100,quarter,25,quarter,100,1.1102018111176326,0.7781700588371392,1.290239611895185,-0.026119718722477828,-0.003816311812359169,-0.22441913222892335,-0.3116688616782545,-0.1421111500505261,-0.04058705979579889,6530.0,-2.476268611913778,-0.06260378010205692
mkt,primary,full_x100,full_x0,full,100,full,0,2.89765403072309,1.6760949522447977,3.2894101490499112,0.15707021983844136,0.03080136426291674,0.3396038213733062,0.4910211888284835,0.003322854502775918,0.15756734814585574,-26383.0,14.67410617543366,0.16273823690511025
mkt,primary,full_x100,half_x0,full,100,half,0,2.712366563815263,2.249893621288389,2.8786954395669677,0.12623978123114907,-0.1977648761238112,0.3396038213733062,0.4910211888284835,0.08241343449040206,0.13685633985918652,-29431.0,11.958902278556122,0.4082351971248481
mkt,primary,full_x100,quarter_x0,full,100,quarter,0,2.7327242324727328,3.0185485488782016,2.4341260614049576,0.08928737489217176,-0.3120415267637209,0.3396038213733062,0.4910211888284835,0.31933056054988795,0.127404985210588,-30280.0,8.604141208408691,0.5734247054081754
mkt,primary,full_x100,full_x10,full,100,full,10,2.470726236090831,1.6078745206755416,2.7288978632729943,0.12916684127116904,0.022015595228633278,0.28643498648452614,0.40477838092992363,0.0016960297387645928,0.12937284599379203,-25804.0,12.219881529890701,0.1071902671312116
mkt,primary,full_x100,half_x10,full,100,half,10,2.4042330669472807,2.097822594117967,2.4923677339315775,0.11174064111731176,-0.2021559849546777,0.28643498648452614,0.40477838092992363,0.06272011993297433,0.11868031461218381,-27485.0,10.655989447473177,0.3696059905110167
mkt,primary,full_x100,quarter_x10,full,100,quarter,10,2.4737198677505665,2.8668610826860625,2.119235073583827,0.08202489902865107,-0.31423517779670035,0.28643498648452614,0.40477838092992363,0.27725743529848346,0.11040774441047446,-29312.0,7.931344611941891,0.5511270439664618
mkt,primary,full_x100,full_x25,full,100,full,25,1.9486038384583617,1.3846884999349915,2.107356497420637,0.09875145864710211,0.015312113198067134,0.22441913222892335,0.3116688616782545,0.00036319634553183544,0.09878458371384406,-22108.0,9.474145231580811,0.1071902671312116
mkt,primary,full_x100,half_x25,full,100,half,25,2.078829248207138,1.9977739076629846,2.0689952083729155,0.09599909714898998,-0.20550545041829218,0.22441913222892335,0.3116688616782545,0.03336929326719473,0.0990357819889036,-25633.0,9.221910045225467,0.3696059905110167
mkt,primary,full_x100,quarter_x25,full,100,quarter,25,2.1288171155219726,2.625204670454834,1.777889955236223,0.07416326457851447,-0.31590753434537333,0.22441913222892335,0.3116688616782545,0.20670392623994382,0.09139317618499661,-26272.0,7.197894476254632,0.5511270439664618
mkt,primary,full_x100,full_x100,full,100,full,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mkt,primary,full_x100,half_x100,full,100,half,100,1.0689523429910184,1.3896882794064211,0.7816832667941117,0.04409828925121485,-0.21315385915586166,0.0,0.0,0.0027781080420591353,0.04419882122973494,-14764.0,4.342199948777426,0.27335869887361897
mkt,primary,full_x100,quarter_x100,full,100,quarter,100,1.4061205692395222,2.131761650795903,0.8507591815897493,0.04804354585603664,-0.31972384615773247,0.0,0.0,0.06459277618941772,0.050806116389197714,-19742.0,4.7216258643408535,0.4885232638644049
