series,X,scheme,regime,frac,level,f_used,f_base,f_stressed,cagr_median,cagr_mean,cagr_p1,cagr_p5,cagr_p25,cagr_p75,cagr_p95,ann_vol_median,mdd_median,mdd_p5,mdd_mean,tw_median,tw_p1,tw_p5,tw_p25,tw_p75,tw_p95,tw_mean,p_lose_money,p_below_tbills,p_dd_50,p_dd_90,p_ruin_99
mkt,50,block20,fixed,,fixed_2.0x,2.0,2.6163616454101675,1.5647665966724562,0.06738273676756124,0.06876310037215448,-0.12521042420120318,-0.07448428617556736,0.008710341864061721,0.12726726179017295,0.216441157054078,0.33104065370453895,-0.8397997270188844,-0.9768985250697914,-0.8246898101956369,5.105101304675955,0.03528499693134741,0.14440921979274132,1.2421150932540708,19.98353714910471,134.0533405504015,33.67871879701615,0.21925,0.34265,0.996,0.30035,0.0024
mkt,50,iid,full,0.25,full_0.25,0.6540904113525419,2.6163616454101675,1.5647665966724562,0.055947903457318815,0.056190328212347755,0.0032742303203749496,0.018892965872437238,0.04049834171184763,0.0715870875560316,0.09475943151657198,0.10849139276208836,-0.2813087897900929,-0.4408986699703704,-0.29401556542308943,3.8999793404302725,1.0851541524636308,1.5966660850400816,2.6979556722260343,5.63231317689537,9.61540074227345,4.529249790171296,0.0068,0.1454,0.01735,0.0,0.0
mkt,50,iid,full,0.5,full_0.50,1.3081808227050837,2.6163616454101675,1.5647665966724562,0.06771175088544412,0.06866556784009731,-0.036757624313968104,-0.006308451338283179,0.03649867517661898,0.09963811816551521,0.14784123276219088,0.2169694321548601,-0.555171818733941,-0.7809124357255358,-0.5654162647074394,5.144587553098578,0.39209338365832547,0.8536698653141351,2.4502973101645225,10.745945932514385,31.4083799369812,9.39496018782272,0.06685,0.21935,0.67745,0.0032,0.0
mkt,50,iid,full,0.75,full_0.75,1.9622712340576256,2.6163616454101675,1.5647665966724562,0.06635149605383484,0.06867450844456412,-0.0868192123542623,-0.043189225354372876,0.01978922214355966,0.11484255781473979,0.189500108287507,0.32545089858531967,-0.7494564888830415,-0.93224675672013,-0.7468395955407772,4.983214305838793,0.10325691570785617,0.33162819622706496,1.632151411479606,15.147413330479964,76.57943370563399,19.546336190410038,0.16445,0.31245,0.9848,0.1036,0.00015
mkt,50,iid,full,1.0,full_1.00,2.6163616454101675,2.6163616454101675,1.5647665966724562,0.05183144455871347,0.055895635984722435,-0.1464782828637432,-0.09054390431300288,-0.009397578402736528,0.1165357813943772,0.21768490828171483,0.43393596566991377,-0.8747613721150933,-0.9837045363494269,-0.8599987020748496,3.537152313176284,0.019070601801846346,0.09322737471978591,0.789740948416419,15.733166344962012,137.52228796063133,40.18597632565085,0.28615,0.41745,0.99975,0.3999,0.00495
mkt,50,iid,full,1.25,full_1.25,3.2704520567627093,2.6163616454101675,1.5647665966724562,0.0240554099231427,0.030357767726306606,-0.21247113477314145,-0.14772707601853916,-0.050168785985526404,0.10422084884755423,0.23157755681810704,0.5424216517348832,-0.9463772657170249,-0.9971097502662928,-0.9267601048092292,1.8117005811673232,0.0025507155226118065,0.018385160566243328,0.27616010503768557,11.923361788067687,182.6182464061241,78.64248896976332,0.41795,0.5272,1.0,0.7186,0.0308
mkt,50,iid,full,1.5,full_1.50,3.924542468115251,2.6163616454101675,1.5647665966724562,-0.01623284094105537,-0.007611169330032267,-0.2853617950236442,-0.21277978019729143,-0.10183623471173173,0.07789331028572605,0.22816844991217078,0.6509097382359423,-0.9812247967355419,-0.9996315418614338,-0.9638911924011574,0.6642139991038454,0.0002249862480553045,0.0025258410675452927,0.06821631700499198,6.5222045411196286,170.3916946396811,138.36794236318883,0.54795,0.63715,1.0,0.90425,0.10825
mkt,50,iid,stressed,0.25,stressed_0.25,0.39119164916811405,2.6163616454101675,1.5647665966724562,0.04771304061359172,0.047804075679131385,0.016086562519795133,0.025563086031730686,0.038507406680265754,0.0569360443039616,0.07054097544062934,0.06489642376250285,-0.15326113381434087,-0.24465856526026128,-0.1613534612048412,3.206702995088155,1.4902794039706444,1.8795743647258956,2.571816375499895,3.9922498994078466,5.496451145280008,3.38284821153285,0.0003,0.12235,0.0,0.0,0.0
mkt,50,iid,stressed,0.5,stressed_0.50,0.7823832983362281,2.6163616454101675,1.5647665966724562,0.05926447286589165,0.05959294866069141,-0.003705522527429715,0.014901559028896161,0.040700903836373814,0.07802149255490509,0.10601081069032416,0.129767975081875,-0.34107934275527246,-0.525564752903058,-0.35475693501468075,4.218034848199269,0.911366540258352,1.4474314096189476,2.7111172294452572,6.541622629164413,12.416074356542168,5.2239264541375965,0.014,0.1582,0.07285,0.0,0.0
mkt,50,iid,stressed,0.75,stressed_0.75,1.1735749475043422,2.6163616454101675,1.5647665966724562,0.06632681582340849,0.06709997311187114,-0.02769670916357368,-0.00015962377531739038,0.03838024527476974,0.09489707622271826,0.13785010523368427,0.19464290814768798,-0.5055816416890577,-0.7291541445613235,-0.5174404739534604,4.980331749305796,0.49550026916915835,0.9960170453269057,2.5639551984938196,9.645670036263251,25.242150607525016,8.081720291217247,0.05045,0.20325,0.51845,0.00095,0.0
