series,X,financing,f,f_kelly_analytic,cagr_median,cagr_p5,cagr_p25,mean_log_growth,mdd_median,p_dd_50,p_dd_90,p_loss,tw_median
mkt,20,broker,3.6,1.6025575085884953,0.025221631889316032,-0.19988386009413464,-0.07396377649083241,0.022371491472032875,-0.9812891904901405,1.0,0.893,0.4348,1.8639924970100408
mkt,20,broker,3.7,1.6025575085884953,0.018771946483900015,-0.21095852677153776,-0.08285595802978593,0.015876274800203465,-0.9843712774945663,1.0,0.909,0.4528,1.5919317320318682
mkt,20,broker,3.8,1.6025575085884953,0.012185743951071526,-0.22296149537458781,-0.0921399037948662,0.00904246272173211,-0.9870693159666792,1.0,0.9264,0.4694,1.3536508685304989
mkt,20,broker,3.9,1.6025575085884953,0.005438835730879776,-0.23458001496316364,-0.10154018667436018,0.001859209978931843,-0.9893499765885418,1.0,0.9412,0.4858,1.145226716726575
mkt,20,broker,4.0,1.6025575085884953,-0.002088314753719067,-0.24618227767163356,-0.1111776467737037,-0.00567387228551528,-0.991315204987095,1.0,0.9532,0.5056,0.9490797960050379
mkt,20,letf,0.1,1.6595546726985173,0.028844319145795105,0.02185525403605154,0.025942421272737992,0.028387694659240608,-0.04477981323178393,0.0,0.0,0.0,2.035830419739818
mkt,20,letf,0.2,1.6595546726985173,0.034866758717062685,0.02152565799965909,0.02940432638554713,0.034201571443088906,-0.09981107710038423,0.0,0.0,0.0,2.3556508819919366
mkt,20,letf,0.3,1.6595546726985173,0.04058051945931984,0.020875168551181756,0.03259110629792389,0.03972747158609344,-0.15674633276230937,0.0,0.0,0.0002,2.7032877855221584
mkt,20,letf,0.4,1.6595546726985173,0.046163418390645417,0.019813445397735285,0.03534066008306275,0.04496410747798187,-0.21375365705072308,0.0004,0.0,0.0018,3.0902117909570705
mkt,20,letf,0.5,1.6595546726985173,0.05133677632200673,0.018516882516165834,0.03773221128587556,0.049910920860991234,-0.2684339771488588,0.0142,0.0,0.006,3.495798674326751
mkt,20,letf,0.6,1.6595546726985173,0.056366328345724304,0.016728545428526052,0.039841302056200956,0.054567988629477246,-0.3209297903199159,0.054,0.0,0.0106,3.938798409751141
mkt,20,letf,0.7,1.6595546726985173,0.0609815369956187,0.014695664690621536,0.041605221649373025,0.05893400178390071,-0.37104601991952646,0.137,0.0,0.0154,4.39233760314349
mkt,20,letf,0.8,1.6595546726985173,0.06533900981256402,0.01245817757330897,0.0430622733102724,0.06300893374475655,-0.4190035871824599,0.2538,0.0,0.0206,4.866268348838968
mkt,20,letf,0.9,1.6595546726985173,0.06944025538718923,0.009768004483708494,0.04415935170301227,0.06679199683324519,-0.46462085016352467,0.3926,0.0,0.028,5.356895725108947
mkt,20,letf,1.0,1.6595546726985173,0.07324800414158972,0.006652061439719027,0.04496281997397289,0.07028173909514736,-0.5082032901799926,0.5232,0.0,0.0364,5.854667612397398
mkt,20,letf,1.1,1.6595546726985173,0.07518100663125049,0.0020160003293884232,0.044055082767355536,0.0720492282740651,-0.5502109307492619,0.6504,0.0016,0.0458,6.124065021188937
mkt,20,letf,1.2,1.6595546726985173,0.07682083398780981,-0.003139054198048624,0.042863150130702354,0.07353056364972936,-0.5902976840364023,0.7544,0.0072,0.0582,6.361891266552021
mkt,20,letf,1.3,1.6595546726985173,0.07823752197426137,-0.008650930228560233,0.0412810285294859,0.07471899208706466,-0.6278036694502701,0.8352,0.0174,0.0732,6.574474173513445
mkt,20,letf,1.4,1.6595546726985173,0.07914136335741562,-0.01425945159664893,0.03929611688099022,0.07560954325076874,-0.662159305816147,0.9,0.0294,0.0856,6.7136468632611965
mkt,20,letf,1.5,1.6595546726985173,0.07971302075336151,-0.020067633744154476,0.037179095503916904,0.07620008375014951,-0.6948108772359001,0.938,0.0458,0.1012,6.803125741997866
mkt,20,letf,1.6,1.6595546726985173,0.08001563867495409,-0.02639304778097854,0.03468326304801883,0.07649550044835216,-0.7242266358612751,0.961,0.0706,0.116,6.850954835863694
mkt,20,letf,1.7,1.6595546726985173,0.08012436976041526,-0.032941626707240296,0.031983200948364265,0.07649133383196573,-0.7519947088608302,0.9772,0.1018,0.1304,6.868219068274616
mkt,20,letf,1.8,1.6595546726985173,0.079773811906109,-0.03962347522114401,0.028943166592911906,0.07618759269050651,-0.7777786202549781,0.9878,0.139,0.1458,6.8127086911513945
mkt,20,letf,1.9,1.6595546726985173,0.07912540638778887,-0.04684776334992309,0.025614843127056974,0.07558168900007937,-0.8012120753008144,0.9932,0.1832,0.1576,6.7111727364811555
mkt,20,letf,2.0,1.6595546726985173,0.07834404152089713,-0.05422500002674483,0.021546784774799543,0.0746703202945478,-0.8219808696692736,0.996,0.2352,0.171,6.5907328198660124
mkt,20,letf,2.1,1.6595546726985173,0.07698162610525205,-0.06160226001791679,0.017586058349423783,0.07345977465838724,-0.8412758770662757,0.998,0.2884,0.1874,6.385683115521346
mkt,20,letf,2.2,1.6595546726985173,0.07526112133239493,-0.06930756333280794,0.01323163721340731,0.07194002127436426,-0.8594478359016453,0.9988,0.3408,0.204,6.135482242623317
mkt,20,letf,2.3,1.6595546726985173,0.07356651417160487,-0.0774036139415366,0.008659067247877461,0.07011826117634726,-0.8758659923760628,0.9994,0.4038,0.2222,5.898260199309817
mkt,20,letf,2.4,1.6595546726985173,0.07151896935100854,-0.08513838363801195,0.0035110825621603725,0.06798565148263001,-0.8901041913984576,0.9998,0.4608,0.2394,5.623369218977945
mkt,20,letf,2.5,1.6595546726985173,0.06902846369355264,-0.09387540050350526,-0.0016509065478169105,0.06554205453857599,-0.9035452950223579,0.9998,0.5152,0.2556,5.305565981265415
mkt,20,letf,2.6,1.6595546726985173,0.0662712008105536,-0.10277976684752985,-0.007214544017271979,0.06279020509533727,-0.9157426248774965,0.9998,0.5656,0.269,4.973846251643825
