date,series,nav_full_x0,dd_full_x0,nav_half_x0,dd_half_x0,nav_quarter_x0,dd_quarter_x0,nav_full_x10,dd_full_x10,nav_half_x10,dd_half_x10,nav_quarter_x10,dd_quarter_x10,nav_full_x25,dd_full_x25,nav_half_x25,dd_half_x25,nav_quarter_x25,dd_quarter_x25,nav_full_x100,dd_full_x100,nav_half_x100,dd_half_x100,nav_quarter_x100,dd_quarter_x100,wf_f_x0,wf_f_x10,wf_f_x25,wf_f_x100
1978-01-31,scv,16481.9,-0.106803,3009.83,-0.0539563,184.92,-0.0265972,676.11,-0.106803,522.499,-0.0539563,73.4854,-0.0265972,126.668,-0.106803,216.467,-0.0539563,46.7285,-0.0265972,0.0896515,-0.986799,4.96669,-0.0539563,6.79792,-0.0265972,2.54093,2.16743,1.94392,0.849737
1978-02-28,scv,17511.3,-0.0264067,3109.1,-0.0130447,188.314,-0.00633269,718.338,-0.0264067,539.732,-0.0130447,74.8342,-0.00633269,134.58,-0.0264067,223.606,-0.0130447,47.5862,-0.00633269,0.0952508,-0.985505,5.1305,-0.0130447,6.92269,-0.00633269,2.535,2.16118,1.93751,0.842819
1978-03-31,scv,21006.9,-0.0251293,3414,-0.0122986,197.784,-0.00585771,861.735,-0.0251293,592.661,-0.0122986,78.5973,-0.00585771,161.445,-0.0251293,245.535,-0.0122986,49.9791,-0.00585771,0.114265,-0.984889,5.63363,-0.0122986,7.27081,-0.00585771,2.54224,2.16896,1.94557,0.852018
1978-04-30,scv,25185,-0.0194387,3751.4,-0.00956933,207.978,-0.00463467,1033.13,-0.0194387,651.233,-0.00956933,82.6486,-0.00463467,193.555,-0.0194387,269.8,-0.00956933,52.5552,-0.00463467,0.136991,-0.982163,6.19039,-0.00956933,7.64557,-0.00463467,2.56516,2.19345,1.97082,0.880594
1978-05-31,scv,29208.7,-0.0354312,4050.71,-0.0175949,216.617,-0.00861725,1198.18,-0.0354312,703.193,-0.0175949,86.0814,-0.00861725,224.478,-0.0354312,291.327,-0.0175949,54.7382,-0.00861725,0.158878,-0.977978,6.68431,-0.0175949,7.96314,-0.00861725,2.58762,2.21756,1.99561,0.908781
1978-06-30,scv,29244.4,-0.119165,4064.79,-0.0602336,217.506,-0.0296115,1199.65,-0.119165,705.636,-0.0602336,86.4349,-0.0296115,224.753,-0.119165,292.339,-0.0602336,54.9629,-0.0296115,0.159072,-0.975227,6.70754,-0.0602336,7.99584,-0.0296115,2.60602,2.23723,2.01593,0.931896
1978-07-31,scv,34003.2,-0.135008,4398.38,-0.0679135,226.963,-0.0328311,1394.86,-0.135008,763.548,-0.0679135,90.1931,-0.0328311,261.325,-0.135008,316.332,-0.0679135,57.3527,-0.0328311,0.184957,-0.975672,7.25802,-0.0679135,8.34349,-0.0328311,2.60531,2.23657,2.01534,0.931506
1978-08-31,scv,42265.2,-0.0181486,4918.39,-0.00897431,240.6,-0.00438715,1733.78,-0.0181486,853.82,-0.00897431,95.6121,-0.00438715,324.821,-0.0181486,353.731,-0.00897431,60.7986,-0.00438715,0.229898,-0.970731,8.11612,-0.00897431,8.84479,-0.00438715,2.62379,2.25638,2.03574,0.954718
1978-09-30,scv,40965.4,-0.142839,4861.12,-0.072813,239.967,-0.0360937,1680.46,-0.142839,843.878,-0.072813,95.3608,-0.0360937,314.832,-0.142839,349.612,-0.072813,60.6388,-0.0360937,0.222828,-0.965559,8.02161,-0.072813,8.82154,-0.0360937,2.65096,2.28542,2.0657,0.988826
1978-10-31,scv,22283.8,-0.522052,3619.91,-0.300261,208.077,-0.157806,914.114,-0.522052,628.407,-0.300261,82.6878,-0.157806,171.258,-0.522052,260.344,-0.300261,52.5802,-0.157806,0.121211,-0.980796,5.97342,-0.300261,7.64921,-0.157806,2.64572,2.27998,2.06019,0.983072
