series,X,f,f_kelly_analytic,cagr_median,cagr_p5,cagr_p25,mean_log_growth,mdd_median,p_dd_50,p_dd_90,p_loss,tw_median
mkt,20,2.6,2.1307090408990366,0.10096711859979501,-0.07431375343657994,0.024957721467728067,0.09466303097921994,-0.8985940564739263,0.9998,0.4936,0.181,11.075382967257456
mkt,20,2.7,2.1307090408990366,0.09934107210075316,-0.08257605702375345,0.020243591465715527,0.0930251760105513,-0.9102719889266012,0.9998,0.5438,0.1942,10.673611318679772
mkt,20,2.8,2.1307090408990366,0.09708570224087776,-0.09087279048585048,0.015341038060706191,0.09107297100565762,-0.9209335674297106,0.9998,0.5926,0.2098,10.139499416250942
mkt,20,2.9,2.1307090408990366,0.0946319252689245,-0.09931898746904486,0.01003182128704555,0.08880472226364372,-0.9304913853281542,1.0,0.6386,0.2236,9.587451537693399
mkt,20,3.0,2.1307090408990366,0.09214768885014168,-0.10772159894343125,0.004329067900367745,0.0862184138915598,-0.9391805836220919,1.0,0.6758,0.24,9.058043889794007
mkt,20,3.1,2.1307090408990366,0.0890910581105272,-0.11654578059552381,-0.0014142472921525595,0.08331112089034219,-0.9468194732973853,1.0,0.7126,0.2528,8.445100472085688
mkt,20,3.2,2.1307090408990366,0.08561499610546841,-0.12642177100414448,-0.007420237177007627,0.08008161257659539,-0.9535944846173636,1.0,0.7484,0.2674,7.7964335174824875
mkt,20,3.3,2.1307090408990366,0.081915853091034,-0.1357517370847615,-0.0137023751953754,0.07652665264175988,-0.959731817312061,1.0,0.784,0.282,7.158748632513943
mkt,20,3.4,2.1307090408990366,0.0782277320539998,-0.145435088409229,-0.020357795248011373,0.07264332936801267,-0.9652600846736106,1.0,0.8166,0.2962,6.572982516215471
mkt,20,3.5,2.1307090408990366,0.0738071875004781,-0.1554725857007603,-0.02747897243391187,0.06842864880332358,-0.9702527620466233,1.0,0.8414,0.3106,5.931407348114135
mkt,20,3.6,2.1307090408990366,0.06872452711008736,-0.16564258906228926,-0.034726249376443474,0.063880240906658,-0.9744220604490983,1.0,0.8646,0.3278,5.267984390370007
mkt,20,3.7,2.1307090408990366,0.06369203124041523,-0.17628650082895547,-0.04268669852194554,0.05899340447103185,-0.9782083142967217,1.0,0.8856,0.344,4.681636580224768
