series,mode,X,n_removed,n_obs,ann_arith_total,cagr,ann_vol,sharpe,max_dd,worst_day,best_day,skew,kurt,kelly_gauss,kelly_quad,kelly_emp,kelly_emp_half,kelly_emp_quarter,fmax_feasible,mean_daily_total,mean_daily_exc,ann_arith_exc,kelly_gauss_half,kelly_gauss_quarter
scv,best,0,0,26233,0.1565667669966816,0.14393116810314988,0.2101344195421973,0.5956293781096133,-0.8895053111818321,-0.1602,0.267,0.27700207950349653,24.823938803144376,2.8342787153391558,2.8304571650721333,2.78009325764397,1.390046628821985,0.6950233144109925,6.242197253433208,0.0005958182441962415,0.00047636564632333326,0.1251774847105285,1.4171393576695779,0.7085696788347889
scv,best,1,1,26232,0.1538980936359111,0.1412283887943966,0.2084398179249752,0.5876676767862531,-0.8895053111818321,-0.1602,0.23190000000000002,-0.053180571982877865,18.70758114903743,2.819142833677329,2.815442498708429,2.747464446017644,1.373732223008822,0.686866111504411,6.242197253433208,0.000585662549557792,0.0004662053979871913,0.12250761474704812,1.4095714168386646,0.7047857084193323
scv,best,5,5,26228,0.14677006424619077,0.13378912008969523,0.20525356907256753,0.5620524314598109,-0.8895053111818321,-0.1602,0.1358,-0.5307724442395435,12.45161153994353,2.738162805432941,2.734874880477618,2.644666618808712,1.322333309404356,0.661166654702178,6.242197253433208,0.0005585366783590057,0.0004390613085252402,0.11537479803402612,1.3690814027164706,0.6845407013582353
scv,best,10,10,26223,0.1415571585595669,0.12818505152218185,0.20391393863672344,0.5401648852905355,-0.8895053111818321,-0.1602,0.0892,-0.6535299270284924,11.81256215214701,2.648850945768921,2.6459128968978862,2.5550794400271895,1.2775397200135947,0.6387698600067974,6.242197253433208,0.0005386988521526904,0.00041920451512031425,0.11015690822179956,1.3244254728844604,0.6622127364422302
scv,best,20,20,26213,0.1330260541115621,0.11898180982388995,0.20216330023630594,0.5026074342198681,-0.90950458781104,-0.1602,0.0817,-0.7849779545358421,11.497238263109432,2.4860680735973633,2.4836803486386847,2.397925066647456,1.198962533323728,0.599481266661864,6.242197253433208,0.0005062335482394232,0.0003867012551024301,0.1016158298184056,1.2430340367986816,0.6215170183993408
scv,best,50,50,26183,0.11119332135181756,0.09563215235366851,0.19830470952014528,0.40218513966975444,-0.9705497092421567,-0.1602,0.0654,-1.055037060397807,11.19154093469941,2.028145149288482,2.026897436536112,1.9623230722507539,0.9811615361253769,0.49058076806268847,6.242197253433208,0.00042314860787533897,0.0003035175495550548,0.07975714393354219,1.014072574644241,0.5070362873221205
scv,best,100,100,26133,0.08203342908109205,0.06498726785986308,0.19416018647764213,0.26036522356039127,-0.9940607530174905,-0.1602,0.052199999999999996,-1.3197646292844865,11.340412664652831,1.3410960691203222,1.340750173831866,1.3095708562955046,0.6547854281477523,0.32739271407387616,6.242197253433208,0.0003121800022959477,0.0001923698006352122,0.05055017708274693,0.6705480345601611,0.33527401728008055
scv,best,200,200,26033,0.035089632230347834,0.01716881118060254,0.1887902788961851,0.01860427262364044,-0.9995602549865027,-0.1602,0.0414,-1.6450491496285211,11.99874074375459,0.09856576022448117,0.09856563039246835,0.09824432009253584,0.04912216004626792,0.02456108002313396,6.242197253433208,0.00013353436023508624,1.3363807475127743e-05,0.003511688592163516,0.049282880112240586,0.024641440056120293
scv,best,500,500,25733,-0.06619183075363384,-0.07945961737585627,0.1806100471491981,-0.5429147372912729,-0.9999940329062674,-0.1602,0.0277,-2.1192389467016586,13.834798411337488,-3.0074575202102367,-3.004087698227855,4.8708273139044716e-05,2.4354136569522358e-05,1.2177068284761179e-05,6.242197253433208,-0.0002518944545913807,-0.0003729879920724361,-0.09801231267455306,-1.5037287601051184,-0.7518643800525592
scv,worst,0,0,26233,0.1565667669966816,0.14393116810314988,0.2101344195421973,0.5956293781096133,-0.8895053111818321,-0.1602,0.267,0.27700207950349653,24.823938803144376,2.8342787153391558,2.8304571650721333,2.78009325764397,1.390046628821985,0.6950233144109925,6.242197253433208,0.0005958182441962415,0.00047636564632333326,0.1251774847105285,1.4171393576695779,0.7085696788347889
